model,year,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,4823
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,8030
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601
i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,8644
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,5456
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,8472
7 Series,2023,Europe,Red,Electric,Manual,5.0,50602,83812,2241
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293
i3,2023,North America,Silver,Electric,Manual,5.0,190643,36081,190
i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,1180
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,4548
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,4212
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997,2162
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,5908
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,1460
3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,8070
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,2600
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,9645
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,6249
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,1142
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,4956
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,6447
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,6673
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,9970
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,9951
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119,4249
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,271
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,4129
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,6897
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,1057
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,1474
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,2428
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,5065
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,9087
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850,9612
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,9239
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,5315
3 Series,2021,South America,Black,Electric,Automatic,2.0,162323,72641,4298
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,2466
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,2275
7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,1714
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,9122
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,6688
3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,3182
i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,3288
3 Series,2020,South America,Grey,Diesel,Manual,4.0,175591,64007,7793
X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,4643
i3,2024,South America,White,Hybrid,Automatic,4.5,57231,47994,1675
3 Series,2020,Middle East,Red,Petrol,Manual,4.5,105037,73453,7286
i3,2024,South America,Blue,Hybrid,Manual,1.6,128016,107658,9124
i3,2021,Europe,Silver,Hybrid,Automatic,3.3,24238,111742,1482
M5,2020,Africa,Grey,Petrol,Automatic,2.0,195911,64700,3134
3 Series,2022,Middle East,Silver,Petrol,Automatic,4.1,116572,47284,3730
3 Series,2021,South America,Grey,Hybrid,Automatic,2.1,37246,112265,5726
7 Series,2020,Asia,White,Petrol,Automatic,2.6,188234,71570,3284
X1,2024,Europe,Grey,Diesel,Manual,4.0,87263,71666,8913
X1,2020,Europe,Grey,Petrol,Automatic,5.0,64144,39207,4488
5 Series,2021,North America,Blue,Hybrid,Automatic,3.6,166252,52030,1849
i3,2024,Asia,Red,Petrol,Manual,1.9,42153,62609,897
i3,2023,Europe,Grey,Hybrid,Automatic,3.2,136858,54036,3108
5 Series,2021,North America,White,Petrol,Manual,4.9,128242,51552,4585
i8,2021,Africa,Black,Diesel,Manual,3.8,164473,102381,9156
X6,2023,South America,Grey,Petrol,Automatic,2.9,167411,94959,8066
X5,2021,Asia,Silver,Diesel,Manual,4.2,48241,106595,5829
X3,2020,South America,Silver,Hybrid,Automatic,1.7,158566,114790,2156
i8,2020,Asia,White,Hybrid,Manual,2.7,111872,34401,288
X1,2023,Europe,Silver,Diesel,Manual,3.2,112416,53115,874
7 Series,2023,South America,Black,Electric,Manual,2.3,179767,47128,7301
i3,2022,North America,Black,Hybrid,Automatic,3.0,81603,115537,5387
7 Series,2023,Europe,Black,Diesel,Manual,4.9,109291,30463,7111
X1,2022,South America,Black,Petrol,Automatic,2.3,26767,117363,642
M3,2023,South America,Grey,Hybrid,Manual,4.2,80410,55419,7109
5 Series,2021,Asia,White,Electric,Manual,1.7,21122,112462,5903
i8,2020,South America,White,Hybrid,Automatic,2.5,59781,62084,4541
X6,2023,Europe,White,Hybrid,Automatic,3.3,54800,100512,9966
X5,2023,South America,Grey,Petrol,Manual,3.8,51128,94088,2930
i8,2022,Africa,Black,Diesel,Manual,4.8,89921,41946,2452
3 Series,2020,Middle East,Red,Petrol,Automatic,4.8,159467,76201,5760
M3,2020,North America,Red,Hybrid,Automatic,2.9,180136,59712,6726
X6,2023,Asia,Red,Diesel,Manual,4.7,32173,54649,6736
M3,2021,Middle East,White,Hybrid,Manual,2.9,162609,54134,904
M5,2024,Middle East,White,Hybrid,Automatic,2.1,43892,84569,4431
5 Series,2021,North America,Blue,Hybrid,Manual,2.3,194391,76581,6866
3 Series,2022,Middle East,Silver,Hybrid,Automatic,3.2,118028,63248,8095
M5,2021,North America,Silver,Diesel,Manual,3.5,52191,66769,1942
5 Series,2021,Europe,Black,Electric,Automatic,4.4,82062,84946,2018
5 Series,2023,South America,Red,Petrol,Manual,2.4,181200,46751,5122
X1,2022,Africa,Blue,Hybrid,Automatic,2.2,16720,41380,2118
M3,2023,North America,Silver,Hybrid,Manual,4.7,26402,35130,9240
M3,2021,South America,Grey,Diesel,Automatic,2.8,72907,31385,634
X3,2022,South America,Blue,Diesel,Automatic,3.1,1536,42468,9374
7 Series,2023,South America,Grey,Diesel,Manual,3.7,33111,102861,5453
i8,2024,Africa,White,Petrol,Manual,3.8,145740,97980,6665
i8,2021,South America,Grey,Diesel,Automatic,3.4,158596,31016,4938
M5,2024,South America,Blue,Petrol,Manual,2.0,32207,35232,4545
i8,2022,Middle East,Black,Hybrid,Manual,3.5,36421,117586,5532
X6,2024,Middle East,White,Electric,Manual,3.8,11344,113647,1983
i3,2023,Middle East,Black,Electric,Manual,4.2,2005,41659,1786
X5,2024,Europe,Blue,Petrol,Manual,3.4,82598,113709,8047
X3,2024,Europe,Red,Electric,Manual,4.7,1390,119117,7270
i8,2020,North America,Red,Diesel,Automatic,4.1,5405,108815,2879
3 Series,2020,South America,Silver,Diesel,Automatic,1.7,176625,117171,6688
7 Series,2022,Asia,Black,Electric,Manual,3.4,157901,51785,7315
7 Series,2022,North America,Grey,Electric,Automatic,2.2,91013,89453,7795
7 Series,2021,Africa,Silver,Diesel,Manual,3.5,175240,82064,9362
7 Series,2022,North America,Grey,Electric,Automatic,3.9,166155,64742,7762
i8,2023,Africa,Black,Hybrid,Automatic,3.3,123239,52193,6006
X5,2023,North America,Grey,Diesel,Automatic,1.5,56918,36116,3195
3 Series,2021,South America,Silver,Electric,Manual,3.6,99440,51226,2119
X6,2024,Europe,Silver,Hybrid,Manual,3.6,131579,36319,6496
X6,2021,Africa,Grey,Petrol,Automatic,4.1,192233,32423,844
X5,2024,Middle East,White,Hybrid,Automatic,4.3,78733,75419,5961
X5,2024,Africa,White,Petrol,Manual,3.3,93603,72936,2487
M5,2023,South America,Silver,Diesel,Manual,4.9,140914,34553,6549
3 Series,2022,Asia,Blue,Electric,Automatic,2.3,34532,90267,6372
5 Series,2024,Europe,Red,Electric,Automatic,5.0,40963,46019,8074
i8,2020,Europe,Red,Diesel,Manual,3.0,93800,94038,5816
X6,2021,Asia,Red,Hybrid,Manual,1.6,13086,36462,7133
X6,2021,Asia,White,Hybrid,Automatic,2.9,9134,45607,556
M5,2021,North America,Black,Electric,Automatic,3.2,130480,52081,3272
X3,2021,Europe,Silver,Electric,Automatic,2.4,64002,116500,348
3 Series,2022,Africa,White,Electric,Manual,2.0,28730,101189,8196
M5,2023,Europe,Grey,Hybrid,Automatic,5.0,16692,99296,5943
X5,2024,Europe,Black,Electric,Automatic,2.0,9615,66166,5997
7 Series,2022,Africa,Black,Electric,Manual,1.8,106864,37051,8999
7 Series,2021,Europe,Blue,Diesel,Manual,2.1,138657,113426,2659
7 Series,2023,Africa,Red,Diesel,Automatic,2.1,117012,60516,4821
i3,2024,North America,Black,Diesel,Manual,2.9,108780,42697,8838
X6,2021,Europe,White,Hybrid,Manual,4.1,57533,85638,3739
M5,2023,South America,Black,Hybrid,Manual,1.6,172797,73954,5084
3 Series,2024,Africa,Red,Diesel,Automatic,3.9,29725,119038,7491
M3,2021,Africa,Blue,Petrol,Automatic,1.5,11430,109949,6188
X3,2024,Europe,Black,Diesel,Manual,1.8,185671,93151,4711
7 Series,2023,North America,Black,Electric,Automatic,2.9,183830,97853,4886
X1,2022,North America,Silver,Diesel,Manual,4.8,142009,55139,2255
M5,2022,Middle East,Blue,Petrol,Automatic,4.6,53187,81354,784
7 Series,2024,Asia,Red,Hybrid,Automatic,3.4,83608,113671,5644
i3,2022,South America,White,Diesel,Manual,4.0,136323,35945,4643
X6,2021,Africa,White,Diesel,Automatic,4.0,60014,51230,9313
X3,2022,Europe,Silver,Hybrid,Automatic,4.8,165231,72593,4877
3 Series,2023,Asia,Red,Diesel,Manual,3.1,39466,101930,4570
M5,2021,Asia,White,Electric,Manual,4.9,78179,70403,7365
X1,2024,South America,Silver,Petrol,Manual,4.7,160411,76189,1131
X1,2023,Africa,White,Hybrid,Automatic,4.6,136514,94933,4533
M3,2023,Africa,White,Electric,Manual,4.4,35796,45975,2999
X3,2023,North America,Blue,Hybrid,Automatic,3.9,162596,89574,7612
M3,2021,Africa,White,Hybrid,Manual,2.0,1811,56208,8578
M5,2023,Middle East,Grey,Electric,Automatic,3.2,177722,90483,8800
X5,2023,Africa,Red,Diesel,Automatic,2.0,74612,63767,1602
5 Series,2024,Europe,Grey,Hybrid,Automatic,3.4,81770,62997,2680
i3,2022,Africa,Red,Hybrid,Manual,4.3,158763,39371,8106
X5,2021,South America,Grey,Petrol,Automatic,4.0,184282,65453,7674
X6,2020,Middle East,Grey,Petrol,Automatic,2.7,162403,40976,9924
i8,2021,Europe,Grey,Electric,Automatic,3.4,157823,114472,2087
5 Series,2021,Middle East,Red,Diesel,Automatic,4.0,106679,97853,1474
7 Series,2022,Africa,Black,Diesel,Automatic,4.1,56534,95164,9770
i8,2020,Africa,White,Electric,Manual,1.5,78999,107597,7217
3 Series,2021,South America,White,Hybrid,Manual,3.8,192532,33634,1187
M5,2020,Europe,Grey,Hybrid,Automatic,4.0,182203,98363,9468
X6,2021,Europe,Blue,Hybrid,Automatic,3.3,184003,80549,5976
M5,2022,South America,White,Petrol,Manual,4.8,151188,101717,8168
X6,2022,North America,White,Hybrid,Automatic,3.7,172961,36829,7453
X6,2021,South America,Silver,Electric,Automatic,4.0,21576,58399,1110
7 Series,2024,North America,Blue,Diesel,Manual,2.5,88984,94328,9831
i3,2023,North America,Blue,Electric,Manual,3.6,11604,104168,1755
i8,2022,Asia,White,Diesel,Manual,2.9,174399,61129,1923
5 Series,2022,North America,Grey,Hybrid,Manual,3.8,121263,78058,7928
M3,2023,Europe,Red,Petrol,Automatic,1.7,159433,83009,215
M5,2022,Africa,Grey,Petrol,Manual,2.6,185369,108495,197
i3,2020,Asia,Black,Electric,Automatic,2.9,150855,45778,4816
i3,2022,North America,White,Petrol,Automatic,1.6,157485,94162,1830
7 Series,2022,North America,Black,Diesel,Automatic,3.3,3023,85017,9775
7 Series,2023,Middle East,Grey,Petrol,Manual,3.3,138440,107095,8621
7 Series,2021,Middle East,Grey,Electric,Automatic,4.9,121064,109197,789
X6,2022,Africa,Silver,Diesel,Automatic,2.6,151529,88249,4363
3 Series,2023,Middle East,Silver,Hybrid,Manual,3.7,80136,62329,2827
M3,2023,North America,Black,Hybrid,Manual,2.5,123160,102305,3627
7 Series,2022,Africa,Silver,Electric,Automatic,1.7,85880,61089,3003
3 Series,2020,North America,White,Hybrid,Automatic,2.7,69101,46581,2345
X3,2021,Europe,White,Hybrid,Automatic,4.5,65326,31296,8461
i3,2022,Africa,Grey,Petrol,Automatic,4.0,103831,41040,9429
7 Series,2021,Asia,Grey,Petrol,Automatic,3.9,22072,118835,5134
i3,2021,North America,Silver,Hybrid,Automatic,4.7,89491,87082,5177
X6,2023,North America,White,Electric,Automatic,2.5,100722,104125,2212
X3,2024,Africa,Blue,Hybrid,Manual,1.5,84641,111418,3378
X5,2024,South America,Blue,Electric,Automatic,4.4,199,114283,3120
7 Series,2021,South America,Blue,Electric,Manual,3.3,25984,60159,592
3 Series,2020,South America,Silver,Diesel,Manual,4.5,21043,98873,9264
5 Series,2022,North America,Red,Petrol,Manual,1.9,125825,109008,1258
3 Series,2023,South America,Blue,Petrol,Manual,4.9,97169,66497,307
7 Series,2024,North America,Red,Diesel,Manual,2.2,54277,81746,8811
5 Series,2022,Africa,Blue,Electric,Automatic,2.2,102335,113697,3810
X6,2020,Europe,Blue,Diesel,Manual,4.1,137108,89344,8818
M5,2020,South America,Red,Petrol,Manual,4.3,169167,92844,8614
5 Series,2024,South America,Silver,Petrol,Automatic,1.6,110993,55965,2088
7 Series,2021,South America,Silver,Hybrid,Automatic,2.7,139793,89889,2574
M3,2021,Europe,Grey,Diesel,Automatic,3.5,84049,85372,1724
7 Series,2022,Middle East,Red,Electric,Manual,3.4,86808,30309,6842
7 Series,2023,North America,Silver,Diesel,Automatic,4.6,9701,92196,8322
5 Series,2022,Europe,Silver,Diesel,Manual,2.3,111160,113726,7489
X3,2020,Middle East,Silver,Petrol,Automatic,2.7,166020,78675,9153
X5,2022,Asia,Silver,Diesel,Manual,2.0,66794,51179,3335
i3,2022,South America,White,Electric,Automatic,3.3,134766,86577,6215
5 Series,2024,Africa,Grey,Electric,Manual,2.7,145156,48139,9319
X5,2022,Africa,Red,Diesel,Automatic,1.7,139011,98740,7050
X5,2021,North America,Black,Hybrid,Manual,1.8,72036,36771,2957
i3,2024,South America,Red,Hybrid,Manual,2.9,107227,34505,5673
7 Series,2022,Asia,Red,Diesel,Automatic,4.6,157516,54273,7965
X1,2021,Africa,Black,Hybrid,Manual,2.3,196771,68785,8717
X1,2020,South America,Silver,Petrol,Automatic,4.8,168607,64501,7138
i8,2023,Europe,Black,Electric,Automatic,2.2,91651,73424,7060
M5,2022,North America,White,Electric,Automatic,4.8,125696,36317,7146
i3,2022,North America,Red,Electric,Automatic,2.8,156881,68479,8925
i3,2021,South America,Blue,Petrol,Automatic,2.0,154446,68456,908
3 Series,2023,Asia,White,Petrol,Manual,4.8,35496,57092,6245
X1,2021,South America,Silver,Hybrid,Automatic,3.1,51316,82274,7063
X3,2022,Africa,Silver,Hybrid,Manual,4.0,67459,54655,1180
X6,2024,Africa,Blue,Petrol,Automatic,3.2,177835,72395,1626
X6,2022,Asia,Grey,Petrol,Automatic,3.5,193767,116538,8197
X6,2021,South America,Black,Hybrid,Manual,3.5,195411,77593,9885
M3,2023,South America,Silver,Hybrid,Manual,4.0,52339,32659,9573
3 Series,2024,Middle East,Silver,Electric,Manual,2.3,171594,57119,6481
i3,2021,Europe,Red,Petrol,Automatic,4.2,22394,31157,3118
7 Series,2021,Europe,Red,Electric,Automatic,2.3,157562,70841,6858
X1,2022,South America,Silver,Diesel,Manual,3.7,116511,89012,7077
5 Series,2022,Europe,Red,Petrol,Manual,4.5,187824,56520,3029
5 Series,2022,North America,Blue,Electric,Automatic,2.8,97363,87814,1206
i8,2024,Middle East,Black,Petrol,Automatic,2.4,92454,118386,8677
X6,2020,Middle East,Black,Petrol,Automatic,4.6,102694,89134,9161
3 Series,2021,Europe,Red,Hybrid,Manual,3.3,48443,93579,4695
i8,2024,North America,Silver,Hybrid,Automatic,3.4,31725,85692,3638
X1,2023,North America,Black,Electric,Automatic,4.3,94402,52338,1818
i8,2024,Middle East,Grey,Petrol,Manual,2.2,176945,71133,3712
X3,2024,Asia,Silver,Petrol,Manual,4.8,29173,60289,7710
7 Series,2020,South America,Black,Diesel,Automatic,2.1,185458,39432,3921
i8,2021,South America,Blue,Petrol,Automatic,2.6,60409,106759,7792
M5,2021,Middle East,Silver,Petrol,Manual,1.8,158910,60717,5724
M3,2021,North America,Grey,Hybrid,Automatic,4.9,106579,73418,2040
X1,2021,North America,Silver,Hybrid,Automatic,2.3,131445,108107,4883
7 Series,2021,Europe,Blue,Hybrid,Automatic,3.9,148512,63422,8986
i3,2021,Middle East,Red,Diesel,Automatic,3.5,18186,105635,1127
X1,2021,Asia,Red,Hybrid,Manual,4.0,38752,119552,5485
M5,2020,Middle East,White,Hybrid,Manual,2.6,93969,94689,356
7 Series,2024,Africa,Silver,Diesel,Manual,2.2,177640,109434,1288
X1,2022,Asia,Grey,Petrol,Automatic,1.8,158495,53776,450
X5,2021,Europe,Blue,Electric,Automatic,2.5,159267,67930,1636
i3,2022,South America,Grey,Hybrid,Automatic,3.5,174985,117256,1633
5 Series,2022,Europe,Red,Petrol,Automatic,2.6,52436,64944,5749
X6,2023,Europe,Black,Hybrid,Manual,3.0,118642,65469,2441
5 Series,2022,Europe,Blue,Petrol,Manual,1.5,199153,117801,9807
X3,2024,Europe,Black,Electric,Automatic,2.8,175560,57989,1171
3 Series,2023,North America,Grey,Diesel,Automatic,4.4,77275,114474,4347
M3,2020,Africa,Black,Petrol,Automatic,2.8,140877,58024,3842
M3,2022,Europe,Grey,Petrol,Manual,2.8,160092,107369,8924
X6,2024,Africa,Silver,Hybrid,Automatic,4.1,20712,80949,3613
i8,2020,South America,Grey,Hybrid,Automatic,1.8,52517,38246,363
3 Series,2024,Africa,Black,Hybrid,Manual,1.7,175447,81565,8031
X5,2020,South America,Grey,Hybrid,Automatic,2.2,44749,75453,4269
X1,2020,Africa,Grey,Diesel,Manual,4.8,45000,79080,3621
X6,2022,Middle East,White,Diesel,Manual,2.5,93721,98297,4590
X5,2024,Asia,Silver,Hybrid,Automatic,3.7,58429,78458,2300
3 Series,2021,Europe,Blue,Petrol,Manual,3.9,14099,99184,421
X3,2024,Europe,Silver,Diesel,Manual,3.8,48004,33214,9521
3 Series,2023,Middle East,Grey,Petrol,Automatic,2.5,97987,52870,9979
X1,2023,Middle East,Grey,Petrol,Automatic,2.6,174282,102510,1523
X3,2022,Middle East,Black,Diesel,Manual,3.6,104677,32200,5230
M3,2022,Africa,Grey,Diesel,Automatic,2.6,75040,47220,2110
5 Series,2023,North America,Blue,Petrol,Automatic,1.9,139301,85255,4180
i3,2021,Asia,White,Diesel,Manual,3.1,197135,85400,2031
X6,2024,South America,Silver,Hybrid,Manual,4.9,194773,33869,934
X6,2020,South America,White,Diesel,Manual,3.8,112386,112855,758
i3,2021,North America,Red,Petrol,Automatic,2.0,183969,76608,5680
X6,2021,Europe,Blue,Petrol,Manual,2.0,10405,117454,6238
M5,2023,Asia,Grey,Diesel,Manual,1.6,199654,98512,3277
5 Series,2023,Middle East,Red,Diesel,Manual,1.9,47837,34330,1106
M3,2020,Asia,Black,Petrol,Automatic,1.9,29414,102395,7612
5 Series,2024,Asia,Black,Electric,Automatic,2.9,106278,59710,7494
X5,2024,Asia,Red,Hybrid,Automatic,2.5,163839,100168,3599
7 Series,2024,Africa,Silver,Petrol,Manual,1.7,198709,36623,1782
X5,2023,Europe,Red,Hybrid,Manual,1.5,30781,34923,8937
3 Series,2020,Middle East,Black,Hybrid,Automatic,2.2,177553,79735,6990
X6,2021,Middle East,Silver,Electric,Manual,4.2,15012,45477,9914
M5,2023,Europe,Red,Hybrid,Automatic,4.7,16632,65366,537
X3,2024,Middle East,Black,Petrol,Automatic,3.5,8217,115703,2498
X3,2020,Africa,Silver,Petrol,Manual,4.6,158864,93416,2177
7 Series,2024,North America,White,Hybrid,Automatic,1.8,43016,109011,1918
M5,2024,South America,Blue,Electric,Manual,2.0,155175,76924,1796
X5,2021,South America,Red,Hybrid,Manual,4.3,26800,72937,1973
3 Series,2023,Asia,Silver,Hybrid,Automatic,4.8,44501,40840,4609
X3,2022,Africa,White,Diesel,Automatic,3.2,576,96752,7370
7 Series,2021,Europe,White,Electric,Manual,2.8,87757,118858,9193
X5,2022,Middle East,Blue,Hybrid,Manual,3.3,25709,60203,4029
i8,2023,Europe,Silver,Electric,Automatic,2.8,157862,40807,3505
i3,2020,South America,Blue,Petrol,Automatic,2.1,180600,38450,1393
5 Series,2020,Europe,Silver,Electric,Manual,4.4,199709,35786,5167
5 Series,2020,Middle East,Blue,Petrol,Manual,3.5,37550,106589,5568
i3,2024,Europe,Black,Hybrid,Automatic,3.8,75550,84588,8537
M3,2024,Europe,Red,Hybrid,Manual,3.6,27329,40543,9239
X3,2020,Asia,Black,Electric,Manual,4.1,120756,79036,3133
3 Series,2020,South America,Black,Diesel,Automatic,4.4,76192,47835,963
7 Series,2022,North America,Red,Hybrid,Manual,4.5,16221,51830,4295
3 Series,2022,Middle East,Blue,Diesel,Manual,4.4,45656,109145,4719
3 Series,2021,Europe,Red,Hybrid,Automatic,2.6,69766,106853,1838
X3,2022,South America,Black,Diesel,Manual,2.1,95568,59355,3850
3 Series,2021,South America,White,Diesel,Automatic,3.0,51063,117490,2299
X1,2023,South America,Red,Electric,Automatic,2.5,91220,51804,4142
7 Series,2023,Africa,Silver,Electric,Manual,3.8,117510,79905,9006
7 Series,2022,Africa,Silver,Diesel,Automatic,3.7,46598,97468,6078
i8,2020,Middle East,Silver,Hybrid,Automatic,2.0,40623,108861,6462
i3,2024,North America,Blue,Electric,Manual,4.2,152179,93988,2084
X6,2024,Europe,Grey,Diesel,Manual,2.1,75841,108867,6839
M3,2023,Asia,Black,Electric,Automatic,2.4,196238,109772,1993
X1,2020,Middle East,Blue,Diesel,Manual,3.1,59102,64022,9842
5 Series,2024,Asia,Grey,Electric,Automatic,4.7,124858,114997,7692
M3,2022,Asia,Red,Hybrid,Manual,4.6,156811,88747,775
M3,2022,North America,Silver,Electric,Manual,2.7,103901,105252,6981
7 Series,2024,Africa,Blue,Petrol,Automatic,2.0,133039,93584,5289
M5,2024,Europe,Black,Diesel,Automatic,3.9,70998,59653,2064
X6,2024,North America,Blue,Hybrid,Manual,1.6,19430,91957,6582
X5,2023,Middle East,Red,Diesel,Automatic,4.0,146310,60096,7480
M5,2021,North America,Black,Petrol,Automatic,3.2,198523,64803,6044
X6,2023,Europe,Black,Electric,Automatic,4.2,132964,61017,8566
